2439	22561
7207	173616
2704	125328
24966	18876
112956	3830
842	3236
2704	125327
76849	4929
104000	1759
22	2704
1269	49387
5001	128772
22	78480
10441	226
1594	50292
93475	15
457	39967
119029	2760
3480	32900
49386	29358
91182	14523
4902	7074
10100	2629
72198	18876
109821	718
49386	29353
143284	73653
32663	44216
842	34478
145752	4985
1541	1810
39967	3401
6156	776
125327	119198
12617	3555
123377	29400
531	71244
191670	4929
26352	2798
2514	2947
1479	40487
5671	5770
1594	6798
22	12985
165226	4920
6639	153607
2197	111
601	14970
51663	2798
49397	26352
5355	35
76252	40
51352	1274
4985	124355
82455	7759
49383	4929
22	11321
33244	3480
3372	27616
3529	49253
33817	3711
4836	111
4985	1810
842	18898
1800	22
2105	30183
69324	2081
127986	125327
57705	20332
49025	4978
2798	4944
24962	842
457	128116
23665	104000
32660	11372
3698	113531
2798	71143
34222	31486
32429	39701
52559	3490
4771	4902
65230	35741
103475	111
4952	15594
2798	5015
125327	32212
28817	22
29073	11372
60241	578
2798	5018
36070	1853
3440	111
57208	3401
157259	29544
7207	3011
11403	123376
6798	178164
4952	1973
6155	118914
29358	13052
114507	1786
4902	6389
79128	3463
2197	842
4720	5862
457	10433
10852	4302
114253	156035
11321	22
842	104000
4926	26663
15	1174
3165	70656
22	39410
4359	27543
14970	19298
124664	36354
28817	66970
36273	49383
19701	3011
1783	1201
9395	125327
6156	3730
11321	3011
71322	4952
155434	4929
65230	37371
842	125533
1274	66159
37371	12617
22	56482
1201	2745
104357	2798
72370	442
4920	16649
28817	7207
5298	22
4913	842
3229	5862
378	32121
1783	4924
4907	6798
76830	11403
226	71396
39437	3401
11403	53019
4902	117019
123377	111
22	14970
29353	105523
36070	1274
16903	4985
4593	29400
59178	842
49911	22
2760	123377
49383	1527
145752	125327
29886	55617
3480	104357
3011	36354
1940	7313
123657	7561
12876	29935
33928	123376
33928	123377
36350	112882
61954	2081
150901	1940
8343	12719
44189	10794
155016	4929
34157	2798
36365	4817
179306	49383
3236	11403
41438	32588
1201	3355
71244	31527
39401	22
22790	111
79134	12719
38706	63777
12332	111
842	12825
442	1263
49383	1786
34716	120851
3138	457
1201	12604
2798	15474
49383	1783
4605	26144
109639	109641
1650	1647
2081	3480
1940	38878
3480	4978
3480	11206
71934	132723
4938	4929
5862	15094
2798	175739
4902	53706
842	4810
29073	39653
4902	11695
1546	3480
39222	29149
32150	22
3698	116480
155120	1274
842	14970
92191	842
11745	22
162533	26144
1274	29353
2745	49383
29720	4978
23913	10980
71244	61954
52943	2798
56480	590
1274	29358
6155	19647
23665	4517
28370	124355
1810	96782
123377	31015
887	578
1940	4972
125327	5355
1201	12050
578	71905
24951	1201
178164	105935
991	578
22	6639
29149	39222
22	125521
4929	4902
4985	5001
71244	17423
4929	3045
38706	18054
6155	4944
18123	47876
105012	57455
3480	21619
29073	29400
4985	24980
71396	104000
32683	22
114307	193814
190023	3138
3401	4928
1479	24938
3401	4925
4435	64483
176030	176028
2838	12335
513	842
69324	22
2798	5355
1969	24712
4928	5862
2439	4929
2805	12536
5949	578
3999	24963
4991	4850
28817	59030
16105	4985
37082	124862
1940	4838
28372	3711
34597	4902
578	33494
991	4039
14851	49399
2242	147910
8821	578
4848	119198
2798	32660
1759	4838
842	145566
4902	3121
6951	24287
80584	157359
607	1201
41443	2433
4929	29353
24961	31486
39107	111
36350	457
11403	226
1201	116845
79131	718
104357	842
34216	1274
590	931
578	11372
119198	3711
39383	1684
3372	4836
123376	71244
66163	3350
24684	842
71156	16581
4985	19363
118386	80836
2242	4907
15970	29358
12823	2838
41354	109639
578	55585
10697	2796
83007	457
105935	53733
1810	63713
74225	29353
29353	3730
22	4943
3372	2964
22	4944
56292	4192
24938	128772
4978	336
195791	842
5364	4819
29353	72976
68835	3225
36958	26352
2065	24287
11420	2796
4929	27720
112956	63060
4985	115864
32485	153809
842	492
4937	4978
17517	49988
14303	18584
32683	4902
22	3440
3480	119785
2798	24673
442	26174
2434	5238
125327	29753
110227	146153
4985	887
4161	1201
3350	992
79129	71143
24101	4985
1543	10433
6155	776
4593	4850
158020	24963
4579	96782
4929	3480
1201	30878
4952	19839
578	60241
36624	842
111	59030
104000	7414
11613	4985
33843	4985
4978	3480
842	57145
578	4918
4937	62913
12719	29353
49988	36376
4918	64750
4902	842
4792	36971
10492	29669
123376	668
53019	10492
1940	18367
91182	527
4985	776
842	118561
997	28775
15207	2798
5440	4985
1400	6798
48860	4985
49386	2065
71396	1274
10451	24684
3138	1783
2798	11206
118444	22
118386	842
590	14970
124862	1479
5238	2434
93475	4929
153607	141231
21176	4836
29358	29353
116480	4972
32166	1940
13772	104000
10410	19937
20332	1708
108081	19060
11577	3480
26130	39410
29358	4902
71143	4991
165223	73115
5238	4902
4978	71245
4985	52935
30514	842
18898	8666
2964	2197
1786	51637
8703	4850
128662	4978
5717	1522
442	72370
28370	2760
1674	4929
590	36579
3711	24963
2081	35
49383	6156
6762	10451
24673	2798
457	8666
48860	28372
28775	442
79134	28423
31486	12719
887	4447
35595	109639
34190	24287
10433	1543
104	119898
28817	15094
9395	2704
38992	116480
24286	49383
49911	24963
24286	49385
3999	4929
34261	578
10441	1940
11522	4902
71244	55635
34719	34716
578	3138
128772	68585
24591	578
4985	5384
1201	18584
15	28817
42671	19298
2366	103772
4985	4929
4985	4928
49383	4792
378	4985
48894	1174
4929	191670
24684	176146
9395	4850
73324	125327
4985	119198
578	11613
2964	35659
36722	1201
119898	27387
4985	32609
15094	4930
10354	22
3372	9024
22561	10794
34216	79131
18337	32640
71143	74225
5862	1201
4836	18790
15094	71143
12876	142538
4952	5862
607	226
578	60508
26144	162533
105935	4902
4920	49988
2798	11372
997	33494
10331	4771
22	243
24980	16328
11321	868
52647	2065
4902	1973
29358	22
14851	128341
28817	38878
3225	104000
8917	49383
52559	2798
4848	3229
9901	148648
52658	64483
34610	3372
3372	24980
226	842
26674	82457
4985	121172
4929	33019
2798	81308
124863	22
5001	3401
18790	4952
55585	22
29073	4929
1201	492
4929	4593
658	578
4978	526
22	6155
22	6156
4929	4595
5018	11321
513	457
61428	842
1798	3529
3011	11321
71140	52942
55635	49988
4848	123377
28386	24966
1759	1594
4937	2798
6258	4363
2028	19524
6798	24951
33244	1786
37371	77530
179545	104357
125327	29134
28817	55624
4991	6155
1940	29353
125327	1274
4447	974
28370	52943
35	842
22	32514
991	9024
31527	57687
6155	4972
79134	111
104000	44524
4902	3711
1594	4902
54	11403
17517	1940
128772	77530
2500	14921
125327	73324
4944	123754
2798	116502
11695	1786
10451	1201
33590	4435
2439	19904
2964	36350
332	842
226	1546
111	1546
2964	36354
2366	1351
33133	18055
842	4595
842	4594
4604	29400
24673	51663
36354	1201
38992	4848
1940	8782
2105	193814
4978	73653
6798	64667
29353	9651
601	72370
1201	39967
36998	22
25188	590
4848	4836
154249	154246
4902	3824
